"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"64","PERU","LATIN AMERICA AND CARIBBEAN",64,5.743,5.647,5.839,0.99602,0.62994,0.05292
"65","TURKMENISTAN","CENTRAL AND EASTERN EUROPE",65,5.658,5.58,5.736,1.08017,0.44006,0.28467
"66","MAURITIUS","SUB-SAHARAN  AFRICA",66,5.648,5.507,5.789,1.14372,0.66189,0.05203
"67","LIBYA","MIDDLE EAST AND NORTHERN  AFRICA",67,5.615,5.406,5.824,1.06688,0.52304,0.10339
"68","LATVIA","CENTRAL AND EASTERN EUROPE",68,5.56,5.486,5.634,1.21788,0.63952,0.0889
"69","CYPRUS","WESTERN EUROPE",69,5.546,5.442,5.65,1.31857,0.8488,0.05228
"70","PARAGUAY","LATIN AMERICA AND CARIBBEAN",70,5.538,5.623,6.453,0.89373,0.58295,0.07396
"71","ROMANIA","CENTRAL AND EASTERN EUROPE",71,5.528,5.427,5.629,1.1697,0.67602,0.00679
"72","ESTONIA","CENTRAL AND EASTERN EUROPE",72,5.517,5.437,5.597,1.27964,0.68098,0.18519
"73","JAMAICA","LATIN AMERICA AND CARIBBEAN",73,5.51,5.315,5.705,0.89333,0.59469,0.04294
"74","CROATIA","CENTRAL AND EASTERN EUROPE",74,5.488,5.402,5.574,1.18649,0.70524,0.04002
"75","HONG KONG","EASTERN ASIA",75,5.458,5.362,5.554,1.5107,0.95277,0.31647
"77","KOSOVO","CENTRAL AND EASTERN EUROPE",76,5.401,5.308,5.494,0.90145,0.54,0.06547
"78","TURKEY","MIDDLE EAST AND NORTHERN  AFRICA",77,5.389,5.295,5.483,1.16492,0.64718,0.12348
"79","INDONESIA","SOUTHEASTERN ASIA",78,5.314,5.237,5.391,0.95104,0.49374,0.00322
"80","JORDAN","MIDDLE EAST AND NORTHERN AFRICA",79,5.303,5.187,5.419,0.99673,0.60712,0.13297
"81","AZERBAIJAN","CENTRAL AND EASTERN EUROPE",80,5.291,5.226,5.356,1.12373,0.54504,0.17914
"82","PHILIPPINES","SOUTHEASTERN ASIA",81,5.279,5.16,5.398,0.81217,0.47036,0.11757
"83","CHINA","EASTERN ASIA",82,5.245,5.199,5.291,1.0278,0.73561,0.02745
"84","BHUTAN","SOUTHERN ASIA",83,5.196,5.138,5.254,0.8527,0.49759,0.1616
"85","KYRGYZSTAN","CENTRAL AND EASTERN EUROPE",84,5.185,5.103,5.267,0.56044,0.55449,0.04762
"86","SERBIA","CENTRAL AND EASTERN EUROPE",85,5.177,5.083,5.271,1.03437,0.6458,0.04339
"88","MONTENEGRO","CENTRAL AND EASTERN EUROPE",86,5.161,5.267,6.055,1.07838,0.63533,0.12721
"89","DOMINICAN REPUBLIC","LATIN AMERICA AND CARIBBEAN",87,5.155,5.037,5.273,1.02787,0.57669,0.12372
"90","MOROCCO","MIDDLE EAST AND NORTHERN AFRICA",88,5.151,5.058,5.244,0.84058,0.59471,0.08404
"91","HUNGARY","CENTRAL AND EASTERN EUROPE",89,5.145,5.056,5.234,1.24142,0.67608,0.04472
"92","PAKISTAN","SOUTHERN ASIA",90,5.132,5.038,5.226,0.68816,0.40306,0.1388
"93","LEBANON","MIDDLE EAST AND NORTHERN AFRICA",91,5.129,5.031,5.227,1.12268,0.76171,0.03061
"94","PORTUGAL","WESTERN EUROPE",92,5.123,5.03,5.216,1.27607,0.79363,0.01521
"95","MACEDONIA","CENTRAL AND EASTERN EUROPE",93,5.121,5.017,5.225,1.0193,0.64738,0.07047
"96","VIETNAM","SOUTHEASTERN ASIA",94,5.061,4.991,5.131,0.74037,0.66157,0.11556
"97","SOMALILAND REGION","SUB-SAHARAN AFRICA",95,5.057,4.934,5.18,0.25558,0.33108,0.36794
"98","TUNISIA","MIDDLE EAST AND NORTHERN AFRICA",96,5.045,4.965,5.125,0.97724,0.59577,0.0817
"99","GREECE","WESTERN EUROPE",97,5.033,4.935,5.131,1.24886,0.80029,0.04127
"100","TAJIKISTAN","CENTRAL AND EASTERN EUROPE",98,4.996,4.923,5.069,0.48835,0.53119,0.13509
"101","MONGOLIA","EASTERN ASIA",99,4.907,4.838,4.976,0.98853,0.55469,0.03285
"102","LAOS","SOUTHEASTERN ASIA",100,4.876,4.742,5.01,0.68042,0.38291,0.22423
"103","NIGERIA","SUB-SAHARAN AFRICA",101,4.875,4.75,5,0.75216,0.05108,0.0305
"104","HONDURAS","LATIN AMERICA AND CARIBBEAN",102,4.871,4.75,4.992,0.69429,0.58383,0.06906
"105","IRAN","MIDDLE EAST AND NORTHERN AFRICA",103,4.813,4.703,4.923,1.11758,0.64232,0.0557
"106","ZAMBIA","SUB-SAHARAN  AFRICA",104,4.795,4.645,4.945,0.61202,0.23573,0.11479
"107","NEPAL","SOUTHERN ASIA",105,4.793,4.698,4.888,0.44626,0.50073,0.07008
"108","PALESTINIAN TERRITORIES","MIDDLE EAST AND NORTHERN AFRICA",106,4.754,4.649,4.859,0.67024,0.56844,0.10613
"109","ALBANIA","CENTRAL AND EASTERN EUROPE",107,4.655,4.546,4.764,0.9553,0.73007,0.05301
"110","BANGLADESH","SOUTHERN ASIA",108,4.643,4.56,4.726,0.54177,0.52989,0.12583
"112","IRAQ","MIDDLE EAST AND NORTHERN  AFRICA",109,4.575,4.446,4.704,1.07474,0.51076,0.13636
"113","NAMIBIA","SUB-SAHARAN AFRICA",110,4.574,4.374,4.774,0.93287,0.34745,0.10398
"114","CAMEROON","SUB-SAHARAN AFRICA",111,4.513,4.417,4.609,0.52497,0.12698,0.06126
"115","ETHIOPIA","SUB-SAHARAN AFRICA",112,4.508,4.425,4.591,0.29283,0.34578,0.1717
"116","SOUTH AFRICA","SUB-SAHARAN AFRICA",113,4.459,4.371,4.547,1.02416,0.18611,0.08415
"117","SRI LANKA","SOUTHERN ASIA",114,4.415,4.508,5.322,0.97318,0.62007,0.07964
"118","INDIA","SOUTHERN ASIA",115,4.404,4.351,4.457,0.74036,0.45091,0.08722
"119","MYANMAR","SOUTHEASTERN ASIA",116,4.395,4.327,4.463,0.34112,0.3988,0.20243
"120","EGYPT","MIDDLE EAST AND NORTHERN AFRICA",117,4.362,4.465,5.259,0.95395,0.52116,0.10393
"121","ARMENIA","CENTRAL AND EASTERN EUROPE",118,4.36,4.266,4.454,0.86086,0.64083,0.03616
"122","KENYA","SUB-SAHARAN  AFRICA",119,4.356,4.259,4.453,0.52267,0.30147,0.06686
"123","UKRAINE","CENTRAL AND EASTERN EUROPE",120,4.324,4.236,4.412,0.87287,0.58628,0.01829
"124","GHANA","SUB-SAHARAN AFRICA",121,4.276,4.185,4.367,0.63107,0.29681,0.0326
"125","CONGO (KINSHASA)","SUB-SAHARAN AFRICA",122,4.272,4.191,4.353,0.05661,0.188,0.06075
"126","GEORGIA","CENTRAL AND EASTERN EUROPE",123,4.252,4.164,4.34,0.83792,0.64035,0.3188
"127","CONGO (BRAZZAVILLE)","SUB-SAHARAN AFRICA",124,4.236,4.107,4.365,0.77109,0.28212,0.09753
"128","SENEGAL","SUB-SAHARAN  AFRICA",125,4.219,4.151,4.287,0.44314,0.40457,0.11681
"129","BULGARIA","CENTRAL AND EASTERN EUROPE",126,4.217,4.104,4.33,1.11306,0.67806,0.00615
"130","MAURITANIA","SUB-SAHARAN AFRICA",127,4.201,4.127,4.275,0.61391,0.28639,0.17955
"131","ZIMBABWE","SUB-SAHARAN AFRICA",128,4.193,4.285,5.101,0.35041,0.1595,0.08582
"132","MALAWI","SUB-SAHARAN AFRICA",129,4.156,4.041,4.271,0.08709,0.29364,0.07564
"133","SUDAN","SUB-SAHARAN AFRICA",130,4.139,4.35,4.928,0.63069,0.29759,0.10039
"134","GABON","SUB-SAHARAN  AFRICA",131,4.121,4.03,4.212,1.15851,0.3494,0.09314
"135","MALI","SUB-SAHARAN AFRICA",132,4.073,3.988,4.158,0.31292,0.16347,0.13647
"136","HAITI","LATIN AMERICA AND CARIBBEAN",133,4.028,3.893,4.163,0.34097,0.27494,0.14476
"137","BOTSWANA","SUB-SAHARAN  AFRICA",134,3.974,3.875,4.073,1.09426,0.34752,0.10769
"138","COMOROS","SUB-SAHARAN AFRICA",135,3.956,3.86,4.052,0.27509,0.29981,0.18437
"139","IVORY COAST","SUB-SAHARAN AFRICA",136,3.916,3.826,4.006,0.55507,0.04476,0.1553
"140","CAMBODIA","SOUTHEASTERN ASIA",137,3.907,3.798,4.016,0.55604,0.42494,0.08092
"141","ANGOLA","SUB-SAHARAN AFRICA",138,3.866,3.753,3.979,0.84731,0.04991,0.08434
"142","NIGER","SUB-SAHARAN  AFRICA",139,3.856,3.781,3.931,0.1327,0.26162,0.17176
"143","SOUTH SUDAN","SUB-SAHARAN  AFRICA",140,3.832,3.596,4.068,0.39394,0.15781,0.13015
"144","CHAD","SUB-SAHARAN AFRICA",141,3.763,3.672,3.854,0.42214,0.03824,0.04952
"145","BURKINA FASO","SUB-SAHARAN AFRICA",142.5,3.739,3.647,3.831,0.31995,0.21297,0.12533
"146","UGANDA","SUB-SAHARAN AFRICA",142.5,3.739,3.629,3.849,0.34719,0.19625,0.06442
"147","YEMEN","MIDDLE EAST AND NORTHERN AFRICA",144,3.724,3.621,3.827,0.57939,0.31048,0.05892
