"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"99","GREECE","WESTERN EUROPE",99,63,4.935,5.131,118,0.80029,0.04127
"100","TAJIKISTAN","CENTRAL AND EASTERN EUROPE",100,57,4.923,5.069,38,0.53119,0.13509
"101","MONGOLIA","EASTERN ASIA",101,56,4.838,4.976,74,0.55469,0.03285
"102","LAOS","SOUTHEASTERN ASIA",102,55,4.742,5.01,8,0.38291,0.22423
"103","NIGERIA","SUB-SAHARAN AFRICA",103,54,4.75,5,56,0.05108,0.0305
"104","HONDURAS","LATIN AMERICA AND CARIBBEAN",104,53,4.75,4.992,51,0.58383,0.06906
"105","IRAN","MIDDLE EAST AND NORTHERN AFRICA",105,52,4.703,4.923,81,0.64232,0.0557
"106","ZAMBIA","SUB-SAHARAN  AFRICA",106,51,4.645,4.945,6,0.23573,0.11479
"107","NEPAL","SOUTHERN ASIA",107,50,4.698,4.888,36,0.50073,0.07008
"108","PALESTINIAN TERRITORIES","MIDDLE EAST AND NORTHERN AFRICA",108,49,4.649,4.859,47,0.56844,0.10613
"109","ALBANIA","CENTRAL AND EASTERN EUROPE",109,48,4.546,4.764,71,0.73007,0.05301
"110","BANGLADESH","SOUTHERN ASIA",110,47,4.56,4.726,41,0.52989,0.12583
"112","IRAQ","MIDDLE EAST AND NORTHERN  AFRICA",112,45,4.446,4.704,92,0.51076,0.13636
"113","NAMIBIA","SUB-SAHARAN AFRICA",113,44,4.374,4.774,13,0.34745,0.10398
"114","CAMEROON","SUB-SAHARAN AFRICA",114,23,4.417,4.609,40,0.12698,0.06126
"115","ETHIOPIA","SUB-SAHARAN AFRICA",115,43,4.425,4.591,22,0.34578,0.1717
"116","SOUTH AFRICA","SUB-SAHARAN AFRICA",116,42,4.371,4.547,88,0.18611,0.08415
"117","SRI LANKA","SOUTHERN ASIA",117,22,4.508,5.322,73,0.62007,0.07964
"118","INDIA","SOUTHERN ASIA",118,41,4.351,4.457,53,0.45091,0.08722
"119","MYANMAR","SOUTHEASTERN ASIA",119,40,4.327,4.463,27,0.3988,0.20243
"120","EGYPT","MIDDLE EAST AND NORTHERN AFRICA",120,39,4.465,5.259,70,0.52116,0.10393
"121","ARMENIA","CENTRAL AND EASTERN EUROPE",121,21,4.266,4.454,63,0.64083,0.03616
"122","KENYA","SUB-SAHARAN  AFRICA",122,38,4.259,4.453,39,0.30147,0.06686
"123","UKRAINE","CENTRAL AND EASTERN EUROPE",123,37,4.236,4.412,64,0.58628,0.01829
"124","GHANA","SUB-SAHARAN AFRICA",124,36,4.185,4.367,46,0.29681,0.0326
"125","CONGO (KINSHASA)","SUB-SAHARAN AFRICA",125,35,4.191,4.353,15,0.188,0.06075
"126","GEORGIA","CENTRAL AND EASTERN EUROPE",126,34,4.164,4.34,60,0.64035,0.3188
"127","CONGO (BRAZZAVILLE)","SUB-SAHARAN AFRICA",127,33,4.107,4.365,9,0.28212,0.09753
"128","SENEGAL","SUB-SAHARAN  AFRICA",128,32,4.151,4.287,35,0.40457,0.11681
"129","BULGARIA","CENTRAL AND EASTERN EUROPE",129,31,4.104,4.33,99,0.67806,0.00615
"130","MAURITANIA","SUB-SAHARAN AFRICA",130,30,4.127,4.275,45,0.28639,0.17955
"131","ZIMBABWE","SUB-SAHARAN AFRICA",131,29,4.285,5.101,29,0.1595,0.08582
"132","MALAWI","SUB-SAHARAN AFRICA",132,28,4.041,4.271,16,0.29364,0.07564
"133","SUDAN","SUB-SAHARAN AFRICA",133,27,4.35,4.928,7,0.29759,0.10039
"134","GABON","SUB-SAHARAN  AFRICA",134,26,4.03,4.212,107,0.3494,0.09314
"135","MALI","SUB-SAHARAN AFRICA",135,25,3.988,4.158,23,0.16347,0.13647
"136","HAITI","LATIN AMERICA AND CARIBBEAN",136,24,3.893,4.163,26,0.27494,0.14476
"137","BOTSWANA","SUB-SAHARAN  AFRICA",137,20,3.875,4.073,97,0.34752,0.10769
"138","COMOROS","SUB-SAHARAN AFRICA",138,19,3.86,4.052,20,0.29981,0.18437
"139","IVORY COAST","SUB-SAHARAN AFRICA",139,18,3.826,4.006,42,0.04476,0.1553
"140","CAMBODIA","SOUTHEASTERN ASIA",140,3,3.798,4.016,43,0.42494,0.08092
"141","ANGOLA","SUB-SAHARAN AFRICA",141,17,3.753,3.979,10,0.04991,0.08434
"142","NIGER","SUB-SAHARAN  AFRICA",142,16,3.781,3.931,3,0.26162,0.17176
"143","SOUTH SUDAN","SUB-SAHARAN  AFRICA",143,15,3.596,4.068,32,0.15781,0.13015
"144","CHAD","SUB-SAHARAN AFRICA",144,14,3.672,3.854,34,0.03824,0.04952
"145","BURKINA FASO","SUB-SAHARAN AFRICA",145,13,3.647,3.831,24,0.21297,0.12533
"146","UGANDA","SUB-SAHARAN AFRICA",146,13,3.629,3.849,28,0.19625,0.06442
"147","YEMEN","MIDDLE EAST AND NORTHERN AFRICA",147,12,3.621,3.827,5,0.31048,0.05892
"148","MADAGASCAR","SUB-SAHARAN AFRICA",148,11,3.621,3.769,4,0.37109,0.07506
"149","TANZANIA","SUB-SAHARAN  AFRICA",149,10,3.561,3.771,37,0.357,0.05099
"150","LIBERIA","SUB-SAHARAN AFRICA",150,9,3.463,3.781,17,0.23165,0.04852
"151","GUINEA","SUB-SAHARAN  AFRICA",151,8,3.533,3.681,18,0.18829,0.1192
"152","RWANDA","SUB-SAHARAN AFRICA",152,7,3.444,3.586,25,0.31865,0.50521
"153","BENIN","SUB-SAHARAN  AFRICA",153,6,3.404,3.564,33,0.21028,0.06681
"154","AFGHANISTAN","SOUTHERN ASIA",154,5,3.288,3.432,31,0.17344,0.07112
"155","TOGO","SUB-SAHARAN AFRICA",155,4,3.192,3.414,21,0.24811,0.11587
"156","SYRIA","MIDDLE EAST AND NORTHERN  AFRICA",156,2,2.936,3.202,55,0.62994,0.17233
"157","BURUNDI","SUB-SAHARAN  AFRICA",157,1,2.732,3.078,2,0.15747,0.09419
